TIME,ad_xx,ad_xy,ad_xz,ad_yx,ad_yy,ad_yz,ad_zx,ad_zy,ad_zz,Ub_x,Ub_y,Ub_z
0,-1.55179080558984e-08,-2.32139230785495e-11,1.4351511860644e-12,-2.32139230785501e-11,8.25954603468639e-12,5.9173873676384e-12,1.4351511860644e-12,5.91738736763839e-12,5.10964850986371e-09,-5.18236107662159e-06,-1.47988287582781e-09,4.31539305594343e-10
778.378378378378,-1.55549203045559e-08,1.56193849467366e-11,8.00084709845154e-11,1.20310750805963e-11,-5.64893853683176e-12,-5.37171087481455e-11,8.00084709845154e-11,-5.37171087481456e-11,5.16081813687618e-09,-5.18782502914661e-06,3.69630558421229e-09,1.22258596641314e-08
1556.75675675676,-1.56386930042093e-08,9.43561878852945e-11,2.75084791813143e-11,8.94791866794726e-11,-2.87957808349259e-11,-1.64982165997828e-11,2.75084791813142e-11,-1.64982165997831e-11,5.26597429461703e-09,-5.20052795144664e-06,1.54952040592792e-08,7.16979945875439e-09
2335.13513513513,-1.55946838526605e-08,5.67392010639222e-11,-7.17445741154969e-11,5.17019762266932e-11,-6.58082699968147e-12,3.06119715404706e-11,-7.1744574115497e-11,3.06119715404704e-11,5.19677047069021e-09,-5.19798170178259e-06,1.34170608570553e-08,-6.27884050327777e-09
3113.51351351351,-1.55216267920512e-08,2.62741777177821e-11,1.02200113498126e-12,1.90041173103081e-11,-2.07111130568065e-11,-1.95125392657343e-11,1.0220011349814e-12,-1.95125392657341e-11,5.1360822859305e-09,-5.19010248710986e-06,1.0436274145616e-08,-4.74046039668075e-10
3891.89189189189,-1.55979880241527e-08,8.91809338463363e-11,1.91851891546381e-11,7.95524374789191e-11,-4.5056039728959e-11,2.56134159256798e-12,1.91851891546381e-11,2.56134159256799e-12,5.23464343065455e-09,-5.19805348141567e-06,1.67773611166249e-08,-4.36013777460439e-10
4670.27027027027,-1.55794054460151e-08,2.45023139364367e-11,-7.66751526325149e-11,1.32725433611573e-11,1.64805275804773e-12,6.2350408217822e-11,-7.66751526325148e-11,6.23504082178221e-11,5.16749050900043e-09,-5.19387591910839e-06,6.64414845553318e-09,-1.140237332869e-08
5448.64864864865,-1.55090864190679e-08,-4.07964773501247e-11,6.41120815142035e-11,-5.59999357505071e-11,2.41894666775352e-11,-3.06076961019598e-11,6.41120815142035e-11,-3.06076961019598e-11,5.07611348979986e-09,-5.18620263981027e-06,-2.40023664344199e-09,8.70819461393384e-09
6227.02702702703,-1.57178859246784e-08,1.03704266265199e-10,1.34810833838299e-10,8.71353682442588e-11,1.10865186729748e-11,-6.49422308777895e-11,1.348108338383e-10,-6.49422308777893e-11,5.29856304188877e-09,-5.21571508452445e-06,1.63594411990202e-08,1.77602904469714e-08
7005.4054054054,-1.57657560665716e-08,1.201724493897e-10,-1.38100413640378e-10,1.07831817808415e-10,2.31375862784365e-11,4.55735939496288e-11,-1.38100413640378e-10,4.55735939496288e-11,5.331322242227e-09,-5.22284613440798e-06,1.90539462149892e-08,-2.02486479477543e-08
7783.78378378378,-1.54888467144819e-08,-1.75361099181547e-11,-1.36969915665023e-10,-3.07528676131645e-11,-8.34222885292156e-12,2.79342490595719e-11,-1.36969915665023e-10,2.79342490595719e-11,5.08521865265883e-09,-5.18276749191382e-06,-3.27240468832681e-10,-2.43502999119028e-08
8562.16216216216,-1.55038051600806e-08,1.64420135399357e-11,3.47320479881151e-11,-3.88604328275426e-12,-5.21230576892854e-11,-1.75569848074258e-11,3.47320479881151e-11,-1.75569848074258e-11,5.1462526360941e-09,-5.17529887268964e-06,-1.04428891232585e-10,2.51630077039555e-10
9340.54054054054,-1.5486686203294e-08,3.45326501095138e-12,-6.60592100424756e-11,-2.34511713060255e-11,-5.49169344221802e-11,4.82341701780588e-11,-6.60592100424752e-11,4.8234170178059e-11,5.13451545742966e-09,-5.17218868535167e-06,-2.92543481251947e-09,-7.01024390902256e-10
