TIME,ri_x,ri_y,ri_z,rb_x,rb_y,rb_z,vi_x,vi_y,vi_z,vb_x,vb_y,vb_z,e,h,a,rho,f,i,Omega,omega
0,-2.24125919575615e-14,-500,-866.025403784439,1000,5.6843418860808e-14,6.31088724176809e-30,6.03172181903943e-18,-0.062449979983984,0.0360555127546399,-3.46944695195361e-18,0.0721110255092798,7.70371977754894e-34,1.11022302462516e-16,72.1110255092798,1000,1000,2.0943951023932,1.5707963267949,-1.5707963267949,3.14159265358979
778.378378378378,-0.00141341591895489,-547.799147338339,-836.616004851624,1000.00512268713,-5.6843418860808e-14,-4.21884749357559e-15,-5.23142023991378e-06,-0.0603353308245807,0.0394914776831793,1.24404387590732e-05,0.0721105320179784,-1.12981489669515e-17,0.000172729997989498,72.1109014176727,999.99658815657,999.99655832102,1.62039880057764,1.57083488530097,-1.5708577947242,-2.61146719727393
1556.75675675676,-0.00926817131569859,-593.878813975306,-804.575840923685,1000.01716463902,0,-1.66533453693773e-13,-1.42705832487598e-05,-0.0580330526374833,0.0428147249058102,1.69070187659368e-05,0.072117513718842,-3.21279596893556e-18,0.000306335144559166,72.1187515899322,1000.21438826333,1000.21429440199,0.871735523620092,1.57090638328675,-1.57096103542597,-1.80667314635866
2335.13513513513,-0.0209239435201157,-638.095132103161,-769.996912223086,1000.03032098264,-5.6843418860808e-14,-1.73264180780563e-13,-1.38347379002937e-05,-0.055548402634318,0.0460101908493116,1.74601923669665e-05,0.0721287916421455,-8.00022618681687e-18,0.00057648505954507,72.130978657985,1000.55380985728,1000.55347733821,0.433584046159282,1.57090259995833,-1.570957359134,-1.31238377571877
3113.51351351351,-0.0298988124885076,-680.308965398434,-732.988820503317,1000.04644906038,1.13686837721616e-13,-3.70051211895372e-14,-1.00543790392056e-05,-0.0528896107374867,0.049054059888001,2.51979931314844e-05,0.0721360602029951,-3.39660211848974e-18,0.000819262380742228,72.139410855211,1000.78809451537,1000.78742279556,0.440829409069665,1.57086922380903,-1.57091881747665,-1.26348474630997
3891.89189189189,-0.0381385475319235,-720.388593611073,-693.67104545992,1000.06962086094,0,-1.13443976434979e-13,-1.11450343265127e-05,-0.0500655653993233,0.051945790341662,3.33696546505405e-05,0.0721451660449386,-1.21947333416202e-17,0.00111725291508162,72.1501888535115,1001.08774030366,1001.0864906918,0.427298737021828,1.57088114053916,-1.57093093662511,-1.1938049351336
4670.27027027027,-0.0452169951004318,-758.207080692787,-652.163317593487,1000.0974812846,0,-2.31516195103865e-14,-5.46720109428342e-06,-0.0470808768717108,0.0546766935302287,3.8916815189298e-05,0.0721536436902498,-7.66120124967833e-18,0.00138922864322856,72.1606773201252,1001.37950017614,1001.37756755755,0.399265179949354,1.57082427019673,-1.57087999873397,-1.10961596157807
5448.64864864865,-0.0471508983009781,-793.643469081792,-608.601266194986,1000.13272091934,0,-3.72059154318816e-14,-2.23214902403885e-06,-0.0439472041998183,0.057222541894751,5.26932572989108e-05,0.0721510449423998,-4.1633257544325e-18,0.00144223048643607,72.1606208954161,1001.37808443599,1001.37600154076,0.531713357178915,1.57079216081549,-1.57085254281587,-1.18590818120583
6227.02702702703,-0.053666805723796,-826.585342158432,-563.126085033122,1000.1771435081,0,-1.87488913283573e-14,-1.58096826522591e-05,-0.0406711366298488,0.0595971793823542,5.74297577005528e-05,0.0721523533702494,-8.99718396573518e-18,0.00154529545568906,72.1651346912433,1001.50367326051,1001.50128173179,0.541897112442456,1.57094716642188,-1.57096401490622,-1.13994028619449
7005.4054054054,-0.0679112626607048,-856.922200322065,-515.865555868122,1000.21644345005,-5.6843418860808e-14,-1.41678335729978e-13,-1.55900241860987e-05,-0.0372564319404159,0.0618050296095081,4.27694811400217e-05,0.072165793973207,-7.28448334638698e-19,0.001835043272805,72.1814137866305,1001.95654632548,1001.95317235322,0.329453946408979,1.57094635581159,-1.5709658941897,-0.871341364855997
7783.78378378378,-0.0717426614920557,-884.556557886059,-466.966035807304,1000.24876298041,5.6843418860808e-14,1.1671219546372e-14,6.2568052594852e-06,-0.0337332812081437,0.0638015938533466,4.58059080990746e-05,0.0721704619651384,-3.89211639263351e-18,0.00200199754954617,72.1884153043541,1002.15157510882,1002.14755849114,0.32322947091216,1.5706861344118,-1.57081926095414,-0.808954784665632
8562.16216216216,-0.0622724349613377,-909.413497157071,-416.598886439108,1000.29372929736,0,-1.37390099297363e-15,1.46781404035161e-05,-0.0301194053506404,0.0655798904960198,7.04627877481621e-05,0.0721657527265494,4.00307770872382e-18,0.00205970374870123,72.1869499223911,1002.11112423914,1002.10687290342,0.494860636901664,1.57058542845612,-1.57076819044159,-0.924426958399994
9340.54054054054,-0.050893175433126,-931.420195345741,-364.926405996788,1000.35736848476,0,-7.8159700933611e-14,1.49313316762343e-05,-0.0264110310593256,0.0671545202178357,9.32759052542677e-05,0.0721613724221936,6.33241831367315e-18,0.00218076946831965,72.1871606225141,1002.11748866047,1002.11272283474,0.635732877601169,1.57058504981592,-1.57076818979027,-1.00914662367717
10118.9189189189,-0.0415606719571261,-950.509690570977,-312.113305101303,1000.44159690503,1.13686837721616e-13,-1.55927354361651e-13,3.52641000430702e-06,-0.0226259713328368,0.0685089750718727,0.000123587649174122,0.0721484510068052,-9.26315231117303e-18,0.00226589675761326,72.1803115394724,1001.9277160962,1001.92257191063,0.858854918297675,1.5707368613068,-1.57082052507727,-1.17612655950276
