TIME,theta1,theta1Dot,theta1Ddot,theta2,theta2Dot,theta2Ddot,theta3,theta3Dot,theta3Ddot,omega_x,omega_y,omega_z,Omega_x,Omega_y,Omega_z
7783.78378378378,1.13207199259105,0.000145439804603711,-0,0,0,-0,0,0,-0,-2.03441725223033e-21,3.42273780388808e-21,7.21525130909382e-05,1.86330307299109e-28,-3.13485243060914e-28,-6.60837884750467e-12
8562.16216216216,1.24527919185015,0.000145439804603711,-0,0,0,-0,0,0,-0,1.98778837422449e-21,-3.47483987504914e-21,7.2144561755117e-05,-2.80047962311255e-28,4.89550013967185e-28,-1.0164028411345e-11
9340.54054054054,1.35848639110926,0.000145439804603711,-0,0,0,-0,0,0,-0,8.29796481992808e-21,-1.75281645642007e-21,7.21355934344709e-05,-1.54744735177839e-27,3.2687426887215e-28,-1.34522181584884e-11
10118.9189189189,1.47169359036836,0.000145439804603711,-0,0,0,-0,0,0,-0,3.47724764542657e-22,1.45461506754207e-20,7.21166045374403e-05,-8.59110343720234e-29,-3.59386209463778e-27,-1.78175750564053e-11
10897.2972972973,1.58490078962747,0.000145439804603711,-0,0,0,-0,0,0,-0,-6.75181725978262e-21,2.5853267344609e-21,7.21010252536987e-05,1.5806152128956e-27,-6.0523065266227e-28,-1.68790079761483e-11
11675.6756756757,1.69810798888657,0.000145439804603711,-0,0,0,-0,0,0,-0,1.16389327121114e-20,3.34612943438635e-21,7.21097555853058e-05,-9.48793299371295e-28,-2.72772879155076e-28,-5.87830985975589e-12
12454.0540540541,1.81131518814568,0.000145439804603711,-0,0,0,-0,0,0,-0,2.39520325592627e-21,2.16089345986543e-22,7.21201536208241e-05,-8.49831237622498e-29,-7.66696838284661e-30,-2.55886256239275e-12
13232.4324324324,1.92452238740478,0.000145439804603711,-0,0,0,-0,0,0,-0,1.07399500425492e-20,3.59541949934975e-21,7.2109134377508e-05,-1.87047531991282e-27,-6.26180141585718e-28,-1.2558564579821e-11
14010.8108108108,2.03772958666389,0.000145439804603711,-0,0,0,-0,0,0,-0,-1.71493275466561e-21,7.25528106328879e-21,7.20893889256983e-05,3.22471420177517e-28,-1.36426386509947e-27,-1.35554980586584e-11
14789.1891891892,2.15093678592299,0.000145439804603711,-0,0,0,-0,0,0,-0,4.93297862828962e-21,7.93265790613206e-21,7.20799812174708e-05,-4.06564220719686e-28,-6.53790564051291e-28,-5.94065849487196e-12
15567.5675675676,2.2641439851821,0.000145439804603711,-0,0,0,-0,0,0,-0,9.95364302215631e-21,7.42425018138947e-21,7.20840175820418e-05,-1.24069270457778e-27,-9.25411230491838e-28,-8.98506351208495e-12
16345.9459459459,2.3773511844412,0.000145439804603711,-0,0,0,-0,0,0,-0,2.65135092839497e-21,5.12523870072244e-21,7.20816166608104e-05,-5.55412205375058e-28,-1.07364894603563e-27,-1.50998531532814e-11
17124.3243243243,2.4905583837003,0.000145439804603711,-0,0,0,-0,0,0,-0,1.08247772082664e-20,9.398632026309e-21,7.20606639837001e-05,-2.1334639640118e-27,-1.85238387389857e-27,-1.42024936748429e-11
17902.7027027027,2.60376558295941,0.000145439804603711,-0,0,0,-0,0,0,-0,5.40639931890616e-21,1.13006005945055e-20,7.20410903789051e-05,-1.13085618316714e-27,-2.36374586892046e-27,-1.50688300459409e-11
18681.0810810811,2.71697278221851,0.000145439804603711,-0,0,0,-0,0,0,-0,-6.29328074647819e-22,3.79280461836944e-21,7.2025968726499e-05,1.30820436202882e-28,-7.88422405730214e-28,-1.49722680845102e-11
