TIME,dp11,dp12,dp13,dp22,dp23,dp33
0,-5.12206767610817e-09,1.5166427126235e-10,7.21824326459726e-11,-4.96072413566417e-09,-2.22959009588996e-09,1.00923621349216e-08
10.0001286024769,-5.13039019067926e-09,-3.06802225160857e-10,9.07614217485844e-11,-4.97894306987418e-09,-1.81471744656169e-09,1.00848201904989e-08
20.0002572049538,-5.12551690477138e-09,-3.19587608044365e-10,-5.19805787243068e-11,-4.97607977416426e-09,-1.80185662672582e-09,1.00916989762482e-08
30.0003858074306,-5.12622040133254e-09,1.49267342278326e-10,4.27723427107904e-10,-4.96067458510429e-09,-2.20528486300009e-09,1.01019813550554e-08
40.0005144099075,-5.13072268561667e-09,1.7368550039462e-10,3.81517946821009e-10,-4.96093346838419e-09,-2.0075166068711e-09,1.00911666817476e-08
50.0006430123844,-5.12806782829582e-09,-8.54765561003884e-11,2.17123665985817e-10,-4.96202156401433e-09,-1.63344299513953e-09,1.00844488109489e-08
60.0007716148613,-5.13368688436399e-09,2.7917668565405e-11,1.14676978283631e-10,-4.96893909562427e-09,-1.95215853181051e-09,1.01055096275921e-08
70.0009002173382,-5.11126069813015e-09,3.90593405913396e-10,1.97705964342368e-11,-4.95737253035425e-09,-2.21877368928125e-09,1.01057535553934e-08
80.0010288198151,-5.12026203278724e-09,-2.55559898746106e-11,-1.64637388287952e-10,-4.95316779404438e-09,-2.27750453585128e-09,1.00821760116516e-08
90.001157422292,-5.12180906564433e-09,6.63264828733779e-10,3.0715142701836e-10,-4.9455463985344e-09,-2.29537298991789e-09,1.00877641892939e-08
100.001286024769,-5.12481086730248e-09,-3.29596110430627e-10,5.74463099880708e-11,-4.95220065864443e-09,-2.49147906499025e-09,1.00954495750611e-08
110.001414627246,-5.13123822038167e-09,6.52818470094666e-11,-3.67408235221521e-10,-4.93954369239439e-09,-2.36344570086225e-09,1.00940099123644e-08
120.001543229723,-5.11687978823377e-09,2.40615048843756e-10,-1.10180015067104e-11,-4.94668938745434e-09,-1.97536175362961e-09,1.00775547356496e-08
130.001671832199,-5.12217758467788e-09,-2.3454620317775e-10,-2.47498613468505e-10,-4.93517439602445e-09,-2.27194468269821e-09,1.00860589367079e-08
140.001800434676,-5.11623477814103e-09,2.35492201897442e-10,-2.70443866120295e-10,-4.93818919367444e-09,-1.96399517677095e-09,1.00804930030611e-08
150.001929037153,-5.12300577356922e-09,1.16086213884534e-10,-1.05390496675181e-10,-4.93974926219447e-09,-2.08787148743742e-09,1.00781069131514e-08
160.00205763963,-5.11878944442227e-09,-1.68371376022475e-10,-5.41315920992775e-10,-4.93746369762463e-09,-1.60566462000611e-09,1.00764031687776e-08
170.002186242107,-5.1126938936435e-09,-8.05680060718814e-11,9.88615988641375e-11,-4.92904931976446e-09,-2.15379298768077e-09,1.00764848077029e-08
180.002314844584,-5.12416482038759e-09,-4.06835297348883e-11,-1.97131327746156e-10,-4.93925373385468e-09,-2.12201886704878e-09,1.00677578457541e-08
190.002443447061,-5.10749976197868e-09,-4.65398267970097e-10,-3.59303881613445e-10,-4.94155680221466e-09,-2.55107651462247e-09,1.00812086835334e-08
200.002572049538,-5.12076553644281e-09,-1.66568447213505e-10,-4.74175943250337e-10,-4.94433633105461e-09,-2.1916185235892e-09,1.00694325816966e-08
210.002700652015,-5.11427785098798e-09,-4.94203583132612e-10,-2.43484807098129e-10,-4.9244137315746e-09,-2.727772778658e-09,1.00577153971479e-08
220.002829254491,-5.1168185726511e-09,-1.14824851151722e-10,-7.19900629342917e-10,-4.92643742323462e-09,-2.12083620662782e-09,1.00621204505451e-08
230.002957856968,-5.1253545127323e-09,-6.42444110039929e-10,4.55419881638196e-10,-4.93557620860473e-09,-2.21533041359705e-09,1.00506684873184e-08
240.003086459445,-5.11531757202138e-09,-4.91132897240636e-10,-5.29488371982999e-11,-4.9273496727448e-09,-2.4149031019709e-09,1.00597801752476e-08
250.003215061922,-5.11762322732655e-09,-3.40121282118446e-10,-2.98964797102388e-10,-4.92341861882483e-09,-2.48812323943866e-09,1.00512922366719e-08
260.003343664399,-5.12010726631162e-09,-4.97292284716151e-10,2.81057956648324e-10,-4.92893324934481e-09,-2.20127700121108e-09,1.00519051741871e-08
270.003472266876,-5.12221434590377e-09,-1.05362346541256e-09,-3.31598218895368e-10,-4.92137461354482e-09,-2.16488560608016e-09,1.00702329105354e-08
280.003600869353,-5.12336679675992e-09,-4.63922470119659e-11,-5.90814726217857e-10,-4.93038181922491e-09,-2.51794553614888e-09,1.00609136527866e-08
290.00372947183,-5.12347301715112e-09,2.35425955258257e-11,-4.14115653952651e-10,-4.92578599999492e-09,-2.44472226412087e-09,1.00522299312929e-08
300.003858074306,-5.1286829235562e-09,-6.72762859610884e-10,2.8469425719386e-10,-4.91512771748494e-09,-2.9219179275865e-09,1.00419710985821e-08
310.003986676783,-5.1176592533873e-09,4.80931249050099e-11,-1.52468903141632e-10,-4.91263632464499e-09,-2.59567565795923e-09,1.00427975951374e-08
320.00411527926,-5.11505869791944e-09,2.04151117707602e-10,2.02024858474082e-10,-4.91028143990502e-09,-2.48879792413192e-09,1.00396692316096e-08
