X,sigma,CS_err,n_max
5.20063261422143,3.58742982810675e-05,0.000632614221428796,6
-0.0391734502787342,0.000141212163263724,1.76639247354074e-05,6
-3.19860087523339e-05,8.01938971895537e-05,2.90167215202415e-05,6
0.00373249158036334,4.2781626978045e-05,2.39149671232299e-05,6
0.014444574016792,0.000347269450846239,0.000398143753306568,6
0.00156070297695437,0.000152765035264634,0.000110356012130102,6
5.87354281145054e-05,5.09295439495472e-05,2.06509277676889e-05,6
0.000372925591816983,2.21245111807471e-05,1.16965336034193e-06,6
0.0308866704528001,0.00114590690804351,0.00013727045280007,6
0.00153814805572308,0.000364624930700688,0.00112452213777305,6
-0.000520295648091643,8.72423573342758e-05,3.01719081034644e-05,6
-6.19148954473386e-05,2.43012782478332e-05,2.39437987789846e-06,6
4.51790037296762e-05,8.97680469770279e-06,5.62180697206613e-08,6
-0.00323010511083765,0.00336575237481336,0.00133589223804463,6
0.000666278321375802,0.000865082843937555,0.000224316685785864,6
4.86438265728824e-05,0.000169596924875265,3.97826637480401e-05,6
3.71398323861514e-05,3.6516633623006e-05,2.31002235924789e-05,6
1.74897957054751e-05,9.15336302796776e-06,6.74395545834491e-06,6
2.07222409976023e-07,3.00355687156079e-06,9.91640704752737e-07,6
-0.0122134346892561,0.0108309684685378,0.00324606811204961,6
-0.000722853305930823,0.00229807107086553,0.00162876998138014,6
0.000150785316011118,0.000376841154308188,6.02072456992117e-05,6
5.77940617712259e-05,6.56002762303175e-05,3.00915118138626e-05,6
-3.25981407914546e-06,1.27255397016737e-05,1.33300831120409e-06,6
1.64870927953732e-06,2.8641847395071e-06,1.54895597633025e-06,6
5.98382382683331e-07,8.53470156994286e-07,4.31347544368639e-07,6
-1.96940386458636e-05,7.96227074957498e-05,1.96940386458636e-05,6
2.57504712682786e-05,4.27914079375343e-05,3.84667665883263e-05,6
0.00148110688571283,0.000152485674424497,0.00017882683183937,6
2.76822294534188e-05,5.0947702881496e-05,5.37803328618013e-06,6
-0.000143316228393359,2.21087007851675e-05,1.31877055997594e-05,6
0.00225216093790497,0.000363997242998338,0.000491215000063607,6
0.000247586883107955,8.71343426658712e-05,7.4313975531496e-05,6
2.188222345385e-06,2.43009935884322e-05,3.9313481344071e-06,6
6.79075072504738e-05,8.96909101751887e-06,3.07572437024928e-06,6
0.000660705656063546,0.000859880078060768,0.000728014674775751,6
-7.33138392052418e-05,0.000169670282735483,0.000127587780641744,6
1.96462157017178e-05,3.65364262404391e-05,1.21507163245784e-05,6
-1.41869399579685e-05,9.14837754244518e-06,1.02642138392059e-05,6
2.42485053819675e-07,3.00311819444788e-06,1.0479732711533e-06,6
-0.00192310857185977,0.00227690633104489,0.00191649948720303,6
-0.000255186938597151,0.000376491678433503,0.000218662118594987,6
-1.44747006015472e-05,6.56418535062767e-05,5.64961268983576e-06,6
-6.92720160749805e-06,1.27299465378527e-05,4.47232235305801e-06,6
-4.06156124650631e-07,2.86345783270694e-06,7.75182654140669e-08,6
1.93552101131115e-07,8.54168353862823e-07,2.05201089088064e-07,6
