TIME,dP11,dP12,dP13,dP22,dP23,dP33
0,4.0986761297211e-12,1.57162401524283e-10,1.8638606953654e-11,2.33341081973684e-12,-5.80728310930097e-10,3.13823619984507e-12
10.0001286024769,-3.56457836105005e-12,-3.01675156790099e-10,4.13216985602393e-11,-1.69744441620946e-11,-1.57856540569938e-10,-3.97404753140559e-12
20.0002572049538,2.39264258702081e-12,-3.15611671309631e-10,-9.02528696115422e-11,-1.4825899822944e-11,-1.36882861676229e-10,2.53555454843137e-12
30.0003858074306,1.36574550117502e-12,1.52411909422115e-10,3.97573723072313e-10,-9.8810041011597e-13,-5.3486473555731e-10,1.47087235274935e-11
40.0005144099075,-4.50823857554167e-12,1.75980010884433e-10,3.59637459283358e-10,-4.23818836524748e-12,-3.30157917149256e-10,8.2569546875771e-12
50.0006430123844,-9.20277911987725e-13,-8.40100451470186e-11,2.03239066949186e-10,-6.08827262516342e-12,5.16283068104835e-11,1.36796917588142e-12
60.0007716148613,-8.30053072628127e-12,2.85831224691054e-11,1.08489070875723e-10,-1.66759740965748e-11,-2.58940137344432e-10,2.78601524267225e-11
70.0009002173382,1.54828642686502e-11,3.90609715791598e-10,1.98400796528495e-11,-5.29125557798914e-12,-5.18459951539621e-10,2.6928718218335e-11
80.0010288198151,5.66571376525269e-12,-2.65757379898498e-11,-1.54930069659455e-10,-3.91433846426861e-12,-5.68425564958879e-10,6.99480951902706e-12
90.001157422292,4.49959778215095e-12,6.61334567848184e-10,3.25321377104443e-10,2.98698008700575e-12,-5.81277878141521e-10,1.29221472460153e-11
100.001286024769,2.79581909977109e-12,-3.32327761101574e-10,8.30153566280272e-11,-4.49107614956452e-12,-7.67760270736543e-10,2.01333061639918e-11
110.001414627246,-5.14964846262736e-12,6.18271249034782e-11,-3.35152516063656e-10,5.30902888213848e-12,-6.34060059043638e-10,2.30686191688238e-11
120.001543229723,9.62146446780401e-12,2.3613849940695e-10,3.0455114681233e-11,-3.11765156385067e-12,-2.38347133267764e-10,7.48174705757484e-12
130.001671832199,4.01114175810868e-12,-2.39950164269078e-10,-1.97663762320808e-10,6.78990661942238e-12,-5.29162990419614e-10,1.79059076280333e-11
140.001800434676,1.00394613708341e-11,2.29236170608727e-10,-2.13093001347919e-10,1.50777415793556e-12,-2.10877591288244e-10,1.45217957168938e-11
150.001929037153,3.80928640256024e-12,1.08963823396884e-10,-4.03067150288744e-11,-6.62959149349201e-13,-3.29442000289434e-10,1.22055501345084e-11
160.00205763963,7.90869078845779e-12,-1.76450922263811e-10,-4.67929660954525e-10,-5.93863331299234e-13,1.61990784773799e-10,1.28351992735653e-11
170.002186242107,1.23076443241042e-11,-8.96011270675368e-11,1.80555129355389e-10,4.73688640807131e-12,-3.80227980116626e-10,1.76970635627353e-11
180.002314844584,2.03528764929956e-12,-5.04573482728988e-11,-1.09024668066235e-10,-5.90219656121956e-12,-3.41033768969515e-10,8.2062004237716e-12
190.002443447061,1.86745389909057e-11,-4.76257893348677e-10,-2.61862590795041e-10,-9.56068526588373e-12,-7.64022989193925e-10,2.30382656149972e-11
200.002572049538,6.14607494562447e-12,-1.78164055315308e-10,-3.70483576148645e-10,-1.32837367410286e-11,-3.97053395044706e-10,1.14683759946012e-11
210.002700652015,1.10621091143458e-11,-5.0687231609809e-10,-1.30818517288649e-10,3.28210542090236e-12,-9.25560533401991e-10,4.67960005002903e-12
220.002829254491,8.03281811539902e-12,-1.2846105730102e-10,-5.99182550658316e-10,-9.13513791037271e-13,-3.11241653018974e-10,1.1745150335029e-11
230.002957856968,1.54479218039641e-13,-6.56894267705847e-10,5.82825610171167e-10,-1.12135410841265e-11,-3.97670829565635e-10,7.96827847420013e-13
240.003086459445,1.08624164157657e-11,-5.06587841348331e-10,8.26307620684351e-11,-4.24097631878468e-12,-5.88643931582199e-10,1.04914903844449e-11
250.003215061922,7.24804371104687e-12,-3.56733449239424e-10,-1.53871843442217e-10,-2.942442671389e-12,-6.55999155532045e-10,5.94478948081277e-12
260.003343664399,6.62504253327396e-12,-5.14865500549469e-10,4.34039498680507e-10,-7.91968153979209e-12,-3.62768302506597e-10,4.15929753722596e-12
270.003472266876,1.60139980190276e-12,-1.07191665569297e-09,-1.73063938589694e-10,-5.32646022381147e-12,-3.18232494265826e-10,3.0369011508689e-11
280.003600869353,1.51964198622677e-13,-6.58232936735351e-11,-4.23008092188795e-10,-1.57029695421986e-11,-6.66222431081618e-10,2.27160421453651e-11
290.00372947183,1.71741829052162e-12,3.18518551699009e-12,-2.39074098313146e-10,-1.13345168522168e-11,-5.84396170958e-10,1.25880127085126e-11
300.003858074306,-5.41250977520839e-12,-6.94444001828815e-10,4.70041464969197e-10,-4.47410096587414e-12,-1.05350432941885e-09,8.04706828203165e-12
310.003986676783,5.49697208323284e-12,2.53390772346939e-11,4.1341786532816e-11,-3.42801169125253e-12,-7.21156709874133e-10,1.04330567130898e-11
320.00411527926,9.59389898292784e-12,1.80694211390715e-10,4.01226342323098e-10,-1.1591585788578e-12,-6.07176748271614e-10,5.89435338108463e-12
330.004243881737,1.95155341380257e-11,1.89233266226286e-10,1.46272055228794e-10,-7.05380844936154e-12,-9.85462790035842e-11,1.04299037145301e-11
340.004372484214,2.87442794197805e-12,4.99254001879652e-10,-4.32719963467393e-10,1.30774421891905e-12,-9.37181815128381e-10,4.53328177452194e-12
350.004501086691,1.11761213596223e-11,-2.86828659599988e-10,-4.5039038548134e-10,-8.35997708562771e-12,-2.65680690725218e-10,-7.82003303550388e-13
360.004629689168,2.87198094967215e-13,1.39159428757316e-10,-2.1717326982802e-10,-4.73859566324848e-12,-6.98696250436744e-10,1.34476036178285e-11
370.004758291645,1.58947977600192e-12,1.51419528735778e-10,-3.91339932209131e-10,-8.30046408555387e-12,-3.83886928006999e-10,5.26981141321544e-12
380.004886894122,1.90666817166315e-12,2.6947486991713e-10,-2.47157160078098e-10,-8.23810006902799e-12,-6.3543325870508e-10,7.82783100310044e-12
390.005015496598,9.08998257667788e-12,1.35261181969788e-10,-3.89822033993526e-10,1.19207249964716e-12,-3.20330648216034e-10,9.0447853525385e-12
400.005144099075,2.68616836484688e-11,-3.98721396378608e-10,7.88172027209752e-11,-5.47876209474321e-12,-8.08099674590185e-10,3.680940912916e-13
410.005272701552,1.01784130847619e-11,-1.37929656561813e-10,-3.60133847474561e-10,-1.27698139586233e-11,-4.66805443945047e-10,2.42464508190948e-12
420.005401304029,8.16586105932032e-12,2.93241136964323e-10,-1.41328403882303e-10,-1.56350885146157e-11,-3.55096573842255e-10,6.62026234531185e-12
430.005529906506,1.35014732364977e-11,1.27050885428621e-10,-3.11057041516823e-10,-1.01457607447526e-11,-3.01423863768724e-10,-8.08817081764946e-12
440.005658508983,1.86076016247861e-11,3.62747236075135e-12,-2.34043797168032e-10,-6.66280681039441e-12,-3.95581971449838e-10,1.83991444983866e-12
450.00578711146,1.3211557675908e-11,2.38302869751247e-10,-9.29995026534003e-11,-2.26169553274889e-11,-5.86434030596975e-10,7.31066383081082e-12
460.005915713937,1.27909098079775e-11,2.94996057485874e-10,-1.26805565841154e-10,6.65729092699213e-12,-3.74972895307727e-10,2.82233731852269e-12
470.006044316414,1.79253501895376e-11,1.5557646310359e-10,-3.52879045126582e-10,-1.19763137707095e-11,-4.30100372729128e-10,5.87093214554263e-12
480.00617291889,1.14051307104477e-12,3.2193268632571e-10,-2.14901765768283e-10,-5.84948294551705e-12,-5.46531499721308e-10,-2.18401807589787e-12
490.006301521367,6.37045062413837e-12,1.24135773353001e-10,-2.52783876481976e-11,-1.15730027116295e-11,-7.01862780958886e-10,-2.60962065888515e-12
500.006430123844,3.01107757536718e-12,5.45155078944267e-11,-3.7189273026645e-10,-9.52440520215329e-12,-1.27575845106253e-10,1.46788046861608e-12
510.006558726321,6.1247438852388e-12,-2.40165820748279e-10,-2.37193642267295e-10,-1.26746817887217e-11,-6.10487363181091e-10,-9.96369174776804e-12
520.006687328798,9.42816027349332e-12,3.75235089232228e-10,1.65936595572274e-10,-1.39151133865463e-11,7.8428246653116e-11,1.06378547789438e-11
530.006815931275,3.22614811602275e-12,-2.18279608448762e-10,-3.1226335293842e-10,3.28999805486648e-13,-5.96822852497686e-10,-8.11661996641275e-12
540.006944533752,7.23476020119503e-12,3.38544941422916e-10,-3.77359527008162e-10,-3.82981686162589e-12,-3.6054543453367e-10,1.46530227525894e-11
550.007073136229,-6.87003533673349e-12,-2.36553165579306e-10,-1.08095415832931e-09,4.72517426578658e-12,-4.57973720817933e-10,4.73640926167436e-13
560.007201738705,-4.64065168068656e-12,-8.66271701372833e-12,-5.84221814378905e-10,-1.40542212928442e-11,-2.76640232497799e-10,8.84661021844105e-13
570.007330341182,1.08432914071838e-12,2.88887431603606e-10,-1.84008523323745e-10,-1.13271235256479e-11,-4.01486928266244e-10,3.17360201429151e-12
580.007458943659,-3.59142522169063e-12,-1.30472034385444e-10,-7.2367960939068e-10,-1.35340943318719e-12,-2.48157118030845e-10,2.25561420325628e-12
590.007587546136,1.41358144190911e-12,-3.72357016427133e-10,-5.73758335962541e-10,-1.27837892213308e-11,-6.63062077290761e-10,-8.2717351279913e-12
600.007716148613,1.37163050946301e-12,-1.23300672598666e-10,-2.5437626594017e-10,-5.66166748860723e-13,-7.61544417000445e-10,1.08278312331163e-11
610.00784475109,2.04022606628076e-11,1.26872222141337e-10,-3.71688665601924e-10,-4.62704268735457e-12,-4.98234640519719e-10,-1.19528360183806e-12
620.007973353567,-1.42488548636848e-12,-5.06587575674669e-10,1.6015242043549e-10,-2.28036307860294e-12,-8.55645522704256e-10,-2.12726641230955e-12
630.008101956044,-3.14079779175481e-12,4.12695394413442e-10,-8.17299877053779e-10,-4.47160856566636e-12,-7.53847634645791e-10,6.88631038637241e-12
640.008230558521,4.68781792620704e-12,1.48336102026553e-10,3.84211148803372e-10,-1.59929607928171e-11,-3.90769789655233e-10,-2.57866510748008e-12
650.008359160997,2.45487751050353e-12,-3.02882072550395e-10,-1.66523305564252e-10,-6.52839121744033e-12,-6.5171215089574e-10,-1.341041507895e-11
660.008487763474,1.61920859615935e-12,-3.68917828917235e-11,-3.45045928307121e-10,-1.11018329663439e-11,-3.44303109070859e-10,-4.10420702474337e-12
670.008616365951,1.54451403357338e-12,-1.31987798354587e-10,2.99978244547555e-10,-6.905107701054e-12,-3.58483434000586e-11,4.12403572265607e-12
680.008744968428,5.77290098614711e-12,6.89712989120162e-11,-5.41986767933667e-11,-1.96436772774529e-12,-2.49369871118308e-11,1.82346257601207e-12
690.008873570905,2.01116389809016e-12,-9.52560097765636e-11,-2.0821905948233e-11,8.29727421354234e-12,-2.21926081949649e-10,1.37709115669867e-12
700.009002173382,1.09768376242176e-11,-2.23781597872324e-10,-2.9059359528935e-10,-1.34841368200022e-11,-5.09630413315828e-10,-9.35367173462358e-12
710.009130775859,-2.44570030637405e-12,-5.97239021069853e-11,8.21148389872266e-11,-1.12446687918365e-11,-2.7836336165672e-10,-5.18601871318336e-12
720.009259378336,3.46347362534264e-12,3.03715602740462e-10,-3.19241503910406e-10,-1.17738403938219e-11,2.90256261776319e-11,-1.22394003337878e-11
730.009387980813,1.32064602114283e-11,-3.56059795871409e-10,-1.54369395625547e-10,-6.45978658786063e-12,-2.8899053991254e-10,-1.00224240998313e-11
740.009516583289,7.18019602316628e-13,-1.15852431300048e-11,-2.09057509564545e-10,-1.46381080010741e-11,-2.37519814119786e-10,-6.24269011133351e-12
750.009645185766,-2.31713847467412e-12,1.03806269637175e-10,-1.97719714297025e-10,-1.87448145075284e-11,-5.58456294829546e-10,-1.88751425483442e-12
