ACAF_N_1,ACAF_N_2,ACAF_N_3
-0.998279760582342,0.0586303642463681,0
0.0531840255957541,0.905546759277099,0.420899662846353
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.998055528834284,0.062307617927552,0.001709418471581
0.0572379448462714,0.905301172868517,0.420896191563505
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.99781483457345,0.065983843870372,0.00341880874701196
0.0612909199805836,0.905040653891862,0.420885777772219
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.997557681769991,0.0696589814370031,0.00512814263060795
0.0653428841465437,0.904765206644286,0.420868421644264
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.997284074665537,0.0733329700075726,0.00683739192761418
0.0693937705086802,0.904474835669178,0.420844123465924
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.996994017773123,0.07700574898116,0.00854652844467108
0.0734435122492996,0.904169545756087,0.420812883637988
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.996687515877118,0.0806772577767965,0.0102555239902793
0.0774920425695883,0.903849341940643,0.420774702675742
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.996364574033144,0.0843474358344644,0.0119643503752649
0.0815392946907147,0.903514229504477,0.420729581208966
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.996025197567993,0.0880162226160961,0.0136729794132441
0.0855852018549305,0.903164213975128,0.42067751998192
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.995669392079538,0.0916835576065723,0.015381382921088
0.089629697326672,0.902799301125959,0.420618519853333
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.995297163436645,0.0953493803147207,0.0170895327193883
0.0936727143936606,0.902419496976055,0.420552581796387
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.994908517779071,0.0990136302743132,0.0187974006329209
0.0977141863680037,0.902024807790129,0.420479706898703
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.994503461517364,0.102676247045064,0.0205049584911119
0.101754046587294,0.901615240078416,0.420399896362323
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.99408200133276,0.106337170213625,0.022212178128501
0.105792228415709,0.901190800596564,0.420313151503687
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.993644144177071,0.109996339394584,0.0239190313852073
0.109828665245113,0.900751496345529,0.420219473753618
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.99318989727257,0.113653694231461,0.0256254901073928
0.113863290496149,0.900297334571451,0.420118864657289
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.99271926811187,0.117309174397701,0.0273315261477273
0.117896037619346,0.899828322765542,0.420011325874208
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.992232264457804,0.120962719597673,0.0290371113658526
0.121926840096208,0.899344468663956,0.419896859178181
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.991728894343297,0.124614269567661,0.0307422176288466
0.125955631440318,0.898845780247666,0.419775466457289
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.991209166071231,0.12826376407686,0.0324468168116874
0.12998234519843,0.898332265742333,0.419647149713855
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.990673088214307,0.131911142928369,0.0341508807977171
0.134006914951567,0.897803933618164,0.419511911064411
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.990120669614908,0.135556345960183,0.0358543814791057
0.138029274316118,0.897260792589781,0.419369752739661
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.989551919384951,0.139199313046188,0.0375572907573146
0.14204935694493,0.896702851616068,0.41922067708445
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.988966846905734,0.142839984097149,0.0392595805435604
0.146067096528404,0.896130119900031,0.419064686557717
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.988365461827787,0.146478299061705,0.0409612227592776
0.150082426795589,0.895542606888644,0.418901783732463
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.987747774070707,0.150114197927356,0.0426621893365824
0.154095281515275,0.894940322272689,0.418731971295701
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.987113793822998,0.153747620721456,0.0443624522187352
0.158105594497084,0.894323275986603,0.418555252048418
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.986463531541901,0.157378507512201,0.0460619833606037
0.162113299592564,0.893691478208308,0.418371628905524
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.985796997953225,0.161006798409615,0.0477607547291252
0.166118330696278,0.893044939359047,0.418181104895808
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.985114204051163,0.164632433566542,0.0494587383037693
0.170120621746896,0.892383670103211,0.417983683161883
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.98441516109812,0.168255353179631,0.0511559060769998
0.174120106728285,0.891707681348162,0.41777936696014
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.98369988062452,0.171875497490324,0.0528522300547369
0.178116719670594,0.891016984244056,0.41756815966069
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.982968374428617,0.175492806785838,0.0545476822568189
0.182110394651349,0.890311590183654,0.417350064747309
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.982220654576303,0.179107221400153,0.0562422347174634
0.186101065796534,0.88959151080214,0.417125085817384
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.981456733400909,0.182718681714998,0.0579358594857293
0.190088667281679,0.888856757976926,0.416893226581848
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.980676623502997,0.186327128160829,0.059628528625977
0.19407313333295,0.888107343827454,0.416654490865123
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.979880337750157,0.189932501217817,0.0613202142183298
0.198054398228229,0.887343280715001,0.416408882605057
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.979067889276794,0.193534741416824,0.0630108883591342
0.202032396298198,0.886564581242473,0.416156405852856
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.978239291483907,0.19713378934039,0.0647005231614202
0.206007061927427,0.885771258254193,0.415897064773019
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.977394558038876,0.20072958562371,0.0663890907553611
0.209978329555452,0.884963324835697,0.41563086364327
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.976533702875228,0.204322070955613,0.0680765632887335
0.213946133677857,0.884140794313512,0.415357806854487
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.975656740192413,0.207911186079539,0.0697629129273766
0.217910408847355,0.883303680254938,0.415077898910628
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.974763684455568,0.211496871794522,0.0714481118556511
0.22187108967487,0.882451996467825,0.414791144428659
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.973854550395276,0.215079068956159,0.0731321322768984
0.225828110830609,0.881585757000344,0.414497548138476
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.972929353007329,0.218657718477591,0.0748149464138987
0.229781407045148,0.880704976140758,0.414197114882829
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.971988107552474,0.222232761330476,0.0764965265093296
0.233730913110502,0.879809668417181,0.41388984961724
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.971030829556164,0.225804138545962,0.0781768448262235
0.237676563881203,0.878899848597344,0.413575757409922
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.970057534808305,0.22937179121566,0.0798558736484253
0.241618294275375,0.877975531688348,0.413254843441696
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.96906823936299,0.232935660492617,0.0815335852810498
0.245556039275807,0.877036732936418,0.412927113005905
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.968062959538239,0.236495687592283,0.083209952050938
0.249489733931026,0.876083467826651,0.412592571508328
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.967041711915725,0.240051813793487,0.0848849463071141
0.253419313356367,0.87511575208276,0.412251224467087
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.966004513340505,0.243603980439398,0.0865585404212412
0.257344712735044,0.874133601666816,0.41190307751256
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.964951380920741,0.247152128938497,0.0882307067880773
0.261265867319218,0.873137032778983,0.411548136387289
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.963882332027415,0.250696200765545,0.0899014178259303
0.265182712431069,0.872126061857252,0.411186406945878
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.962797384294048,0.254236137462544,0.0915706459771134
0.269095183463858,0.871100705577171,0.410817895154907
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.961696555616402,0.257771880639703,0.0932383637083991
0.273003215882995,0.870060980851566,0.410442607092824
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.96057986415219,0.261303371976402,0.094904543511474
0.276906745227102,0.869006904830266,0.410060548949851
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.959447328320777,0.264830553222154,0.0965691579033919
0.28080570710908,0.86793849489982,0.409671727027878
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.958298966802872,0.268353366197565,0.0982321794270274
0.284700037217166,0.866855768683207,0.409276147740362
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.957134798540222,0.271871752795291,0.0998935806515292
0.288589671315998,0.865758744039547,0.408873817612219
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.955954842735302,0.275385654981004,0.101553334172772
0.29247454524767,0.864647439063808,0.40846474327972
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.954759118850994,0.278895014794341,0.103211412613808
0.296354594932796,0.863521872086505,0.408048931490374
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.953547646610268,0.282399774349865,0.10486778862532
0.300229756371562,0.862382061673399,0.407626389102827
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.952320445995857,0.285899875838018,0.106522434886071
0.304099965644785,0.861228026625193,0.407197123086739
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.951077537249928,0.289395261526075,0.108175324103357
0.307965158914965,0.860059785977215,0.406761140522675
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.949818940873745,0.292885873759096,0.109826429013454
0.311825272427339,0.858877358999111,0.406318448601989
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.948544677627336,0.296371654960877,0.111475722382069
0.315680242510933,0.857680765194527,0.405869054626698
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.947254768529144,0.2998525476349,0.113123177004793
0.31953000557961,0.856470024300779,0.405412966009372
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.945949234855686,0.303328494365282,0.114768765707542
0.323374498133124,0.85524515628854,0.404950190273003
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.9446280981412,0.30679943781772,0.116412461347012
0.32721365675816,0.854006181361498,0.404480735050885
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.943291380177289,0.310265320740439,0.118054236811124
0.331047418129386,0.852753119956034,0.404004608086488
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.941939103012562,0.313726085965135,0.119694065019472
0.334875719010497,0.851485992740875,0.403521817233329
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.940571288952272,0.317181676407919,0.121331918923768
0.338698496255253,0.850204820616762,0.403032370454844
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.939187960557945,0.320632035070255,0.122967771508289
0.342515686808526,0.848909624716097,0.402536275824253
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.93778914064701,0.324077105039907,0.124601595790326
0.346327227707339,0.847600426402601,0.402033541524433
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.936374852292422,0.327516829491872,0.126233364820622
0.350133056081902,0.846277247270958,0.401524175847779
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.934945118822283,0.330951151689319,0.127863051683823
0.353933109156652,0.84494010914646,0.401008187196065
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.933499963819455,0.334380014984524,0.129490629498918
0.357727324251286,0.843589034084647,0.400485584080311
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.93203941112117,0.337803362819808,0.131116071419686
0.361515638781798,0.842224044370942,0.39995637512064
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.930563484818641,0.341221138728465,0.132739350635135
0.365297990261506,0.840845162520287,0.399420569046133
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.929072209256661,0.344633286335696,0.134360440369946
0.36907431630209,0.839452411276766,0.398878174694691
0.0246775005438552,0.420175614655446,-0.907107200840025
-0.927565609033203,0.348039749359538,0.135979313884916
0.372844554614615,0.838045813613234,0.398329201012883
0.0246775005438552,0.420175614655446,-0.907107200840025
