TIME,theta1,theta1Dot,theta1Ddot,theta2,theta2Dot,theta2Ddot,theta3,theta3Dot,theta3Ddot,omega_x,omega_y,omega_z,Omega_x,Omega_y,Omega_z
0,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
10.0001286024769,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
20.0002572049538,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
30.0003858074306,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
40.0005144099075,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
50.0006430123844,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
60.0007716148613,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
70.0009002173382,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
80.0010288198151,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
90.001157422292,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
100.001286024769,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
110.001414627246,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
120.001543229723,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
130.001671832199,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
140.001800434676,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
150.001929037153,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
160.00205763963,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
170.002186242107,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
180.002314844584,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
190.002443447061,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
200.002572049538,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
210.002700652015,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
220.002829254491,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
230.002957856968,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
240.003086459445,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
250.003215061922,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
260.003343664399,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
270.003472266876,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
280.003600869353,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
290.00372947183,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
300.003858074306,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
310.003986676783,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
320.00411527926,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
330.004243881737,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
340.004372484214,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
350.004501086691,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
360.004629689168,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
370.004758291645,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
380.004886894122,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
390.005015496598,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
400.005144099075,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
410.005272701552,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
420.005401304029,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
430.005529906506,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
440.005658508983,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
450.00578711146,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
460.005915713937,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
470.006044316414,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
480.00617291889,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
490.006301521367,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
500.006430123844,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
510.006558726321,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
520.006687328798,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
530.006815931275,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
540.006944533752,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
550.007073136229,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
560.007201738705,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
570.007330341182,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
580.007458943659,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
590.007587546136,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
600.007716148613,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
610.00784475109,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
620.007973353567,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
630.008101956044,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
640.008230558521,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
650.008359160997,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
660.008487763474,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
670.008616365951,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
680.008744968428,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
690.008873570905,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
700.009002173382,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
710.009130775859,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
720.009259378336,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
730.009387980813,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
740.009516583289,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
750.009645185766,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
760.009773788243,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
770.00990239072,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
780.010030993197,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
790.010159595674,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
800.010288198151,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
810.010416800628,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
820.010545403105,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
830.010674005581,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
840.010802608058,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
850.010931210535,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
860.011059813012,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
870.011188415489,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
880.011317017966,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
890.011445620443,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
900.01157422292,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
910.011702825396,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
920.011831427873,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
930.01196003035,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
940.012088632827,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
950.012217235304,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
960.012345837781,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
970.012474440258,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
980.012603042735,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
990.012731645211,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
1000.01286024769,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
1010.01298885017,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
1020.01311745264,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
1030.01324605512,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
1040.0133746576,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
1050.01350326007,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
1060.01363186255,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
1070.01376046503,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
1080.0138890675,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
1090.01401766998,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
1100.01414627246,0,0,-0,0,0,-0,0,0,-0,0,0,0,0,0,-0
